yyyymmdd,connect_count,Precipitation,age,temperature,wind speed,day of tha week
2021-01-13,37,0.0,53.7,9.1,1.9,2
2021-01-14,111,0.0,52.8,9.7,2.8,3
2021-01-15,60,0.0,53.6,7.5,5.1,4
2021-01-16,34,0.0,51.7,12.7,6.8,5
2021-01-17,31,0.0,54.5,7.1,4.1,6
2021-01-18,65,0.0,54.1,5.8,3.7,0
2021-01-19,49,0.0,52.9,6.2,9.2,1
2021-01-20,94,0.0,51.4,5.2,5.4,2
2021-01-21,65,0.0,54.2,6.8,2.4,3
2021-01-22,83,0.0,52.4,9.5,2.1,4
2021-01-23,31,0.7,54.9,7.5,9.1,5
2021-01-24,26,0.6,51.2,5.6,9.4,6
2021-01-25,56,0.0,49.7,10.0,4.6,0
2021-01-26,72,0.0,55.6,8.9,3.2,1
2021-01-27,103,0.0,49.3,11.2,3.8,2
2021-01-28,93,0.5,50.7,5.5,7.3,3
2021-01-29,113,0.0,51.2,8.0,6.4,4
2021-01-30,107,0.0,48.9,6.8,5.9,5
2021-01-31,40,0.0,52.4,9.1,5.9,6
2021-02-01,76,0.0,51.2,7.6,4.6,0
2021-02-02,71,0.3,56.0,10.4,4.9,1
2021-02-03,122,0.0,53.1,8.2,2.7,2
2021-02-04,71,0.0,56.6,10.0,7.5,3
2021-02-05,103,0.0,52.7,8.3,4.7,4
2021-02-06,65,0.0,50.8,9.7,2.1,5
2021-02-07,13,0.0,58.0,12.4,3.6,6
2021-02-08,71,0.0,54.5,7.2,6.4,0
2021-02-09,93,0.0,55.0,6.3,6.3,1
2021-02-10,136,0.0,50.5,8.4,3.5,2
2021-02-11,44,0.0,53.1,10.6,7.3,3
2021-02-12,115,0.0,53.0,9.2,3.0,4
2021-02-13,74,0.0,51.5,11.5,3.8,5
2021-02-14,92,0.0,54.7,13.4,4.3,6
2021-02-15,84,4.4,50.3,12.5,5.9,0
2021-02-16,99,0.0,49.2,12.7,7.9,1
2021-02-17,114,0.0,51.6,10.6,11.6,2
2021-02-18,157,0.0,58.7,6.0,5.6,3
2021-02-19,125,0.0,52.1,8.9,5.8,4
2021-02-20,104,0.0,52.7,12.9,8.1,5
2021-02-21,38,0.0,51.3,16.5,4.7,6
2021-02-22,94,0.0,49.0,15.8,4.7,0
2021-02-23,67,0.0,47.5,12.7,8.3,1
2021-02-24,144,0.0,50.1,8.0,6.9,2
2021-02-25,152,0.0,51.5,7.0,3.5,3
2021-02-26,98,0.0,48.4,10.1,3.5,4
2021-02-27,65,0.0,52.7,6.6,8.1,5
2021-02-28,43,0.0,55.7,8.0,3.5,6
2021-03-01,121,0.0,51.1,13.7,4.5,0
2021-03-02,106,0.7,49.8,16.1,9.1,1
2021-03-03,127,0.0,52.2,8.2,8.6,2
2021-03-04,122,0.0,51.5,9.8,2.5,3
2021-03-05,103,0.0,53.4,13.1,2.2,4
2021-03-06,65,0.0,54.9,14.1,3.8,5
2021-03-07,54,0.0,53.1,8.0,5.7,6
2021-03-08,105,0.3,51.2,7.5,5.6,0
2021-03-09,105,0.0,52.1,10.3,3.3,1
2021-03-10,102,0.0,52.0,14.3,7.3,2
2021-03-11,120,0.0,51.1,11.3,3.5,3
2021-03-12,79,0.0,49.5,13.2,2.9,4
2021-03-13,26,4.3,53.3,12.4,7.7,5
2021-03-14,62,0.0,51.7,15.5,11.2,6
2021-03-15,90,0.0,53.5,15.4,6.3,0
2021-03-16,86,0.0,49.3,17.8,8.0,1
2021-03-17,145,0.0,55.1,15.3,4.6,2
2021-03-18,106,0.0,50.6,13.3,3.6,3
2021-03-19,80,0.0,45.6,13.8,5.2,4
2021-03-20,60,0.0,51.8,15.1,2.6,5
2021-03-21,9,1.1,46.4,17.6,10.4,6
2021-03-22,101,0.0,53.1,13.4,8.1,0
2021-03-23,111,0.0,52.1,11.8,3.9,1
2021-03-24,129,0.0,49.7,16.0,6.6,2
2021-03-25,103,0.0,47.1,15.6,5.2,3
2021-03-26,154,0.0,50.6,15.4,6.0,4
2021-03-27,78,0.0,50.9,14.9,4.1,5
2021-03-28,26,0.7,45.5,17.4,7.6,6
2021-03-29,91,0.0,48.5,17.9,4.2,0
2021-03-30,96,0.0,51.3,17.7,3.3,1
2021-03-31,95,0.0,50.6,18.0,4.7,2
